iso3n,name,birth_rate
440,Lithuania,0.0102769890944092
442,Luxembourg,0.0104237275983248
446,"China, Macao SAR",0.0112757209822887
450,Madagascar,0.0307716292521105
454,Malawi,0.0318675896880944
458,Malaysia,0.0160563087698341
462,Maldives,0.0124842062545494
466,Mali,0.0380707840428211
470,Malta,0.0100526758982435
474,Martinique,0.00929739459118706
478,Mauritania,0.031415212952522
480,Mauritius,0.00988983313869663
484,Mexico,0.0164643696502565
496,Mongolia,0.0214882682995363
498,Republic of Moldova,0.0100684498448925
499,Montenegro,0.011493144365286
504,Morocco,0.0175454899351381
508,Mozambique,0.0348502531256411
512,Oman,0.0164943595098635
516,Namibia,0.026358551829967
524,Nepal,0.0189958372519382
528,Netherlands,0.0101798158517658
531,Curacao,0.0105443892938591
533,Aruba,0.0115533470589146
540,New Caledonia,0.0135450868731771
548,Vanuatu,0.0276850653695063
554,New Zealand,0.0122181966971522
558,Nicaragua,0.0190134276503219
562,Niger,0.0426543044017481
566,Nigeria,0.0351201820391616
578,Norway,0.0111617393813908
583,Micronesia (Fed. States of),0.0216313306651434
586,Pakistan,0.0259303743040834
591,Panama,0.0179449858015841
598,Papua New Guinea,0.0254231266926122
600,Paraguay,0.0195143571190492
604,Peru,0.0172132725633546
608,Philippines,0.019404381683905
616,Poland,0.00971876162189528
620,Portugal,0.0078470174264182
624,Guinea-Bissau,0.032123157393544
626,Timor-Leste,0.026897263127241
630,Puerto Rico,0.00609091059388764
634,Qatar,0.00885027896676906
638,Reunion,0.013886818884649
642,Romania,0.00952701318697075
643,Russian Federation,0.012129173582343
646,Rwanda,0.0288566494006466
662,Saint Lucia,0.0114309547555615
670,St. Vincent and the Grenadines,0.0135690754267949
678,Sao Tome and Principe,0.0291944695866276
682,Saudi Arabia,0.016315794710094
686,Senegal,0.0316927643488341
688,Serbia,0.00920872967596054
690,Seychelles,0.0152866538978598
694,Sierra Leone,0.0302121534257723
702,Singapore,0.00863759509409056
703,Slovakia,0.010320637888505
704,Viet Nam,0.0159570142839887
705,Slovenia,0.00941736405661434
706,Somalia,0.0391646191514858
710,South Africa,0.0191815971124326
716,Zimbabwe,0.027195708033513
724,Spain,0.00833624064781259
728,South Sudan,0.032514372049813
729,Sudan,0.0297821833065146
732,Western Sahara,0.0187763897485998
740,Suriname,0.0174646323662197
748,Eswatini,0.0239235877950902
752,Sweden,0.0118835747336438
756,Switzerland,0.0103272309541839
760,Syrian Arab Republic,0.0219101794935935
762,Tajikistan,0.0280488145824982
764,Thailand,0.00966845693931854
768,Togo,0.0308003928902753
776,Tonga,0.0227720470679673
780,Trinidad and Tobago,0.0119383093154081
784,United Arab Emirates,0.0101140163204761
788,Tunisia,0.016115756894174
792,Turkey,0.0150465699245445
795,Turkmenistan,0.0215462594828444
800,Uganda,0.0339471644477367
804,Ukraine,0.0090797984590006
807,North Macedonia,0.0104019449797783
818,Egypt,0.0239854288099101
826,United Kingdom,0.011468410147056
830,Channel Islands,0.00995658279143796
834,United Republic of Tanzania,0.0342924523160896
840,United States of America,0.0119999402727797
850,United States Virgin Islands,0.0111856519179131
854,Burkina Faso,0.0349173301815706
858,Uruguay,0.0133398992535223
860,Uzbekistan,0.0195652367246811
862,Venezuela (Bolivarian Republic of),0.0163156376040132
882,Samoa,0.0229103577535509
887,Yemen,0.027443253587814
894,Zambia,0.0339499017367573
